id,method,cue_a,cue_b,expected,pred,success,coarse_visited,fine_steps,runtime_ms,candidates,grid,seed,n_queries
q00008,nn,c1_070,c0_070,bridge_c0_c1,c1_070,0,0,0,0.0068,256,1,42,2000
q00008,minsim,c1_070,c0_070,bridge_c0_c1,bridge_c0_c1,1,0,0,0.0113,256,1,42,2000
q00008,graph_ppr,c1_070,c0_070,bridge_c0_c1,c0_010,0,0,0,3.9244,256,1,42,2000
q00008,topogps,c1_070,c0_070,bridge_c0_c1,c1_096,0,9,120,9.3224,256,1,42,2000
q00008,topogps_cuepath,c1_070,c0_070,bridge_c0_c1,c1_022,0,9,0,1.7569,256,1,42,2000
q00008,topogps_no_cue,c1_070,c0_070,bridge_c0_c1,c1_070,0,371,120,9.7141,256,1,42,2000
q00009,nn,c3_094,c0_094,bridge_c0_c3,c3_094,0,0,0,0.0066,256,1,42,2000
q00009,minsim,c3_094,c0_094,bridge_c0_c3,bridge_c0_c3,1,0,0,0.0087,256,1,42,2000
q00009,graph_ppr,c3_094,c0_094,bridge_c0_c3,c3_016,0,0,0,3.897,256,1,42,2000
q00009,topogps,c3_094,c0_094,bridge_c0_c3,c3_016,0,5,120,8.5318,256,1,42,2000
q00009,topogps_cuepath,c3_094,c0_094,bridge_c0_c3,bridge_c0_c3,1,5,0,1.1675,256,1,42,2000
q00009,topogps_no_cue,c3_094,c0_094,bridge_c0_c3,c3_094,0,194,120,8.7123,256,1,42,2000
q00010,nn,c3_038,c2_038,bridge_c2_c3,c3_038,0,0,0,0.0079,256,1,42,2000
q00010,minsim,c3_038,c2_038,bridge_c2_c3,bridge_c2_c3,1,0,0,0.0084,256,1,42,2000
q00010,graph_ppr,c3_038,c2_038,bridge_c2_c3,c2_089,0,0,0,3.8017,256,1,42,2000
q00010,topogps,c3_038,c2_038,bridge_c2_c3,bridge_c2_c3,1,8,120,8.6121,256,1,42,2000
q00010,topogps_cuepath,c3_038,c2_038,bridge_c2_c3,bridge_c3_c4,0,8,0,1.2344,256,1,42,2000
q00010,topogps_no_cue,c3_038,c2_038,bridge_c2_c3,c3_038,0,189,120,8.8124,256,1,42,2000
q00011,nn,c1_056,c4_056,bridge_c1_c4,c1_056,0,0,0,0.0062,256,1,42,2000
q00011,minsim,c1_056,c4_056,bridge_c1_c4,bridge_c1_c4,1,0,0,0.0086,256,1,42,2000
q00011,graph_ppr,c1_056,c4_056,bridge_c1_c4,c1_110,0,0,0,3.9468,256,1,42,2000
