id,task,method,cue_a,cue_b,expected,pred,success,coarse_visited,fine_steps,runtime_ms,candidates,grid,seed,n_queries
q00007,associative,minsim,c1_115,c4_115,bridge_c1_c4_115,c1_010,0,0,0,0.0127,256,1,42,2000
q00007,associative,graph_ppr,c1_115,c4_115,bridge_c1_c4_115,bridge_c1_c4_115,1,0,0,10.1276,256,1,42,2000
q00007,associative,topogps,c1_115,c4_115,bridge_c1_c4_115,bridge_c1_c4_115,1,3,1,0.8626,256,1,42,2000
q00007,associative,topogps_cuepath,c1_115,c4_115,bridge_c1_c4_115,bridge_c1_c4_115,1,3,0,0.5207,256,1,42,2000
q00007,associative,topogps_no_cue,c1_115,c4_115,bridge_c1_c4_115,c1_115,0,2500,120,21.4851,256,1,42,2000
q00008,associative,nn,c1_070,c0_070,bridge_c0_c1_070,c1_070,0,0,0,0.0083,256,1,42,2000
q00008,associative,minsim,c1_070,c0_070,bridge_c0_c1_070,c4_062,0,0,0,0.0129,256,1,42,2000
q00008,associative,graph_ppr,c1_070,c0_070,bridge_c0_c1_070,bridge_c0_c1_070,1,0,0,10.3073,256,1,42,2000
q00008,associative,topogps,c1_070,c0_070,bridge_c0_c1_070,bridge_c0_c1_070,1,3,0,0.7631,256,1,42,2000
q00008,associative,topogps_cuepath,c1_070,c0_070,bridge_c0_c1_070,bridge_c0_c1_070,1,3,0,0.492,256,1,42,2000
q00008,associative,topogps_no_cue,c1_070,c0_070,bridge_c0_c1_070,bridge_c1_c3_021,0,2500,120,22.2561,256,1,42,2000
q00009,associative,nn,c3_094,c0_094,bridge_c0_c3_094,c3_094,0,0,0,0.0084,256,1,42,2000
q00009,associative,minsim,c3_094,c0_094,bridge_c0_c3_094,c2_115,0,0,0,0.0128,256,1,42,2000
q00009,associative,graph_ppr,c3_094,c0_094,bridge_c0_c3_094,bridge_c0_c3_094,1,0,0,10.0518,256,1,42,2000
q00009,associative,topogps,c3_094,c0_094,bridge_c0_c3_094,bridge_c0_c3_094,1,3,0,0.7947,256,1,42,2000
q00009,associative,topogps_cuepath,c3_094,c0_094,bridge_c0_c3_094,bridge_c0_c3_094,1,3,0,0.522,256,1,42,2000
q00009,associative,topogps_no_cue,c3_094,c0_094,bridge_c0_c3_094,bridge_c3_c4_026,0,2442,120,20.6553,256,1,42,2000
q00010,associative,nn,c3_038,c2_038,bridge_c2_c3_038,c3_038,0,0,0,0.0085,256,1,42,2000
q00010,associative,minsim,c3_038,c2_038,bridge_c2_c3_038,c3_079,0,0,0,0.0128,256,1,42,2000
q00010,associative,graph_ppr,c3_038,c2_038,bridge_c2_c3_038,bridge_c2_c3_038,1,0,0,10.137,256,1,42,2000
q00010,associative,topogps,c3_038,c2_038,bridge_c2_c3_038,bridge_c2_c3_038,1,3,0,0.7813,256,1,42,2000
q00010,associative,topogps_cuepath,c3_038,c2_038,bridge_c2_c3_038,bridge_c2_c3_038,1,3,0,0.5124,256,1,42,2000
q00010,associative,topogps_no_cue,c3_038,c2_038,bridge_c2_c3_038,c3_052,0,2500,120,20.9994,256,1,42,2000
q00011,associative,nn,c1_056,c4_056,bridge_c1_c4_056,c1_056,0,0,0,0.0084,256,1,42,2000
q00011,associative,minsim,c1_056,c4_056,bridge_c1_c4_056,c4_116,0,0,0,0.0129,256,1,42,2000
q00011,associative,graph_ppr,c1_056,c4_056,bridge_c1_c4_056,bridge_c1_c4_056,1,0,0,10.0959,256,1,42,2000
q00011,associative,topogps,c1_056,c4_056,bridge_c1_c4_056,bridge_c1_c4_056,1,3,1,0.9801,256,1,42,2000
q00011,associative,topogps_cuepath,c1_056,c4_056,bridge_c1_c4_056,bridge_c1_c4_056,1,3,0,0.5537,256,1,42,2000
q00011,associative,topogps_no_cue,c1_056,c4_056,bridge_c1_c4_056,bridge_c1_c3_051,0,2500,120,21.2075,256,1,42,2000
q00012,associative,nn,c0_105,c3_105,bridge_c0_c3_105,c0_105,0,0,0,0.0081,256,1,42,2000
q00012,associative,minsim,c0_105,c3_105,bridge_c0_c3_105,c2_032,0,0,0,0.0126,256,1,42,2000
q00012,associative,graph_ppr,c0_105,c3_105,bridge_c0_c3_105,bridge_c0_c3_105,1,0,0,10.1493,256,1,42,2000
q00012,associative,topogps,c0_105,c3_105,bridge_c0_c3_105,bridge_c0_c3_105,1,3,1,0.8477,256,1,42,2000
q00012,associative,topogps_cuepath,c0_105,c3_105,bridge_c0_c3_105,bridge_c0_c3_105,1,3,0,0.5149,256,1,42,2000
q00012,associative,topogps_no_cue,c0_105,c3_105,bridge_c0_c3_105,bridge_c0_c3_078,0,2500,120,21.5157,256,1,42,2000
q00013,associative,nn,c4_060,c0_060,bridge_c0_c4_060,c4_060,0,0,0,0.0082,256,1,42,2000
q00013,associative,minsim,c4_060,c0_060,bridge_c0_c4_060,c4_024,0,0,0,0.0125,256,1,42,2000
q00013,associative,graph_ppr,c4_060,c0_060,bridge_c0_c4_060,bridge_c0_c4_060,1,0,0,10.0508,256,1,42,2000
q00013,associative,topogps,c4_060,c0_060,bridge_c0_c4_060,bridge_c0_c4_060,1,3,0,0.8351,256,1,42,2000
q00013,associative,topogps_cuepath,c4_060,c0_060,bridge_c0_c4_060,bridge_c0_c4_060,1,3,0,0.5566,256,1,42,2000
q00013,associative,topogps_no_cue,c4_060,c0_060,bridge_c0_c4_060,c4_060,0,2385,120,20.7966,256,1,42,2000
q00014,associative,nn,c4_035,c3_035,bridge_c3_c4_035,c4_035,0,0,0,0.0083,256,1,42,2000
q00014,associative,minsim,c4_035,c3_035,bridge_c3_c4_035,c3_104,0,0,0,0.0125,256,1,42,2000
q00014,associative,graph_ppr,c4_035,c3_035,bridge_c3_c4_035,bridge_c3_c4_035,1,0,0,73.0083,256,1,42,2000
q00014,associative,topogps,c4_035,c3_035,bridge_c3_c4_035,bridge_c3_c4_035,1,3,1,1.0156,256,1,42,2000
q00014,associative,topogps_cuepath,c4_035,c3_035,bridge_c3_c4_035,bridge_c3_c4_035,1,3,0,0.5528,256,1,42,2000
q00014,associative,topogps_no_cue,c4_035,c3_035,bridge_c3_c4_035,c4_035,0,2438,120,22.8149,256,1,42,2000
q00015,associative,nn,c4_036,c1_036,bridge_c1_c4_036,c4_036,0,0,0,0.0135,256,1,42,2000
q00015,associative,minsim,c4_036,c1_036,bridge_c1_c4_036,c4_054,0,0,0,0.0134,256,1,42,2000
q00015,associative,graph_ppr,c4_036,c1_036,bridge_c1_c4_036,bridge_c1_c4_036,1,0,0,10.3821,256,1,42,2000
q00015,associative,topogps,c4_036,c1_036,bridge_c1_c4_036,bridge_c1_c4_036,1,3,0,0.8121,256,1,42,2000
q00015,associative,topogps_cuepath,c4_036,c1_036,bridge_c1_c4_036,bridge_c1_c4_036,1,3,0,0.5733,256,1,42,2000
q00015,associative,topogps_no_cue,c4_036,c1_036,bridge_c1_c4_036,c4_036,0,2431,120,21.8288,256,1,42,2000
q00016,associative,nn,c0_036,c2_036,bridge_c0_c2_036,c0_036,0,0,0,0.0125,256,1,42,2000
q00016,associative,minsim,c0_036,c2_036,bridge_c0_c2_036,c4_024,0,0,0,0.0127,256,1,42,2000
q00016,associative,graph_ppr,c0_036,c2_036,bridge_c0_c2_036,bridge_c0_c2_036,1,0,0,10.5142,256,1,42,2000
q00016,associative,topogps,c0_036,c2_036,bridge_c0_c2_036,bridge_c0_c2_036,1,3,1,0.8941,256,1,42,2000
q00016,associative,topogps_cuepath,c0_036,c2_036,bridge_c0_c2_036,bridge_c0_c2_036,1,3,0,0.5219,256,1,42,2000
q00016,associative,topogps_no_cue,c0_036,c2_036,bridge_c0_c2_036,bridge_c0_c3_025,0,2500,120,21.5739,256,1,42,2000
q00017,associative,nn,c0_060,c4_060,bridge_c0_c4_060,c0_060,0,0,0,0.0101,256,1,42,2000
q00017,associative,minsim,c0_060,c4_060,bridge_c0_c4_060,c4_024,0,0,0,0.0128,256,1,42,2000
q00017,associative,graph_ppr,c0_060,c4_060,bridge_c0_c4_060,bridge_c0_c4_060,1,0,0,10.1422,256,1,42,2000
q00017,associative,topogps,c0_060,c4_060,bridge_c0_c4_060,bridge_c0_c4_060,1,3,1,0.8806,256,1,42,2000
q00017,associative,topogps_cuepath,c0_060,c4_060,bridge_c0_c4_060,bridge_c0_c4_060,1,3,0,0.531,256,1,42,2000
q00017,associative,topogps_no_cue,c0_060,c4_060,bridge_c0_c4_060,bridge_c0_c2_030,0,2500,120,21.509,256,1,42,2000
q00018,associative,nn,c0_114,c1_114,bridge_c0_c1_114,c0_114,0,0,0,0.0083,256,1,42,2000
q00018,associative,minsim,c0_114,c1_114,bridge_c0_c1_114,c4_062,0,0,0,0.0127,256,1,42,2000
q00018,associative,graph_ppr,c0_114,c1_114,bridge_c0_c1_114,bridge_c0_c1_114,1,0,0,10.1703,256,1,42,2000
q00018,associative,topogps,c0_114,c1_114,bridge_c0_c1_114,bridge_c0_c1_114,1,3,1,0.8351,256,1,42,2000
q00018,associative,topogps_cuepath,c0_114,c1_114,bridge_c0_c1_114,bridge_c0_c1_114,1,3,0,0.5072,256,1,42,2000
q00018,associative,topogps_no_cue,c0_114,c1_114,bridge_c0_c1_114,bridge_c0_c3_014,0,2500,120,21.6929,256,1,42,2000
q00019,associative,nn,c3_037,c2_037,bridge_c2_c3_037,c3_037,0,0,0,0.0082,256,1,42,2000
q00019,associative,minsim,c3_037,c2_037,bridge_c2_c3_037,c3_034,0,0,0,0.0124,256,1,42,2000
q00019,associative,graph_ppr,c3_037,c2_037,bridge_c2_c3_037,bridge_c2_c3_037,1,0,0,10.1434,256,1,42,2000
q00019,associative,topogps,c3_037,c2_037,bridge_c2_c3_037,bridge_c2_c3_037,1,3,0,0.8975,256,1,42,2000
q00019,associative,topogps_cuepath,c3_037,c2_037,bridge_c2_c3_037,bridge_c2_c3_037,1,3,0,0.8033,256,1,42,2000
q00019,associative,topogps_no_cue,c3_037,c2_037,bridge_c2_c3_037,c3_037,0,2374,120,21.3747,256,1,42,2000
q00020,associative,nn,c4_088,c1_088,bridge_c1_c4_088,c4_088,0,0,0,0.0082,256,1,42,2000
q00020,associative,minsim,c4_088,c1_088,bridge_c1_c4_088,c2_109,0,0,0,0.0126,256,1,42,2000
q00020,associative,graph_ppr,c4_088,c1_088,bridge_c1_c4_088,bridge_c1_c4_088,1,0,0,10.2107,256,1,42,2000
q00020,associative,topogps,c4_088,c1_088,bridge_c1_c4_088,bridge_c1_c4_088,1,3,0,0.824,256,1,42,2000
q00020,associative,topogps_cuepath,c4_088,c1_088,bridge_c1_c4_088,bridge_c1_c4_088,1,3,0,0.5302,256,1,42,2000
q00020,associative,topogps_no_cue,c4_088,c1_088,bridge_c1_c4_088,c4_088,0,2394,120,20.7395,256,1,42,2000
q00021,associative,nn,c3_067,c4_067,bridge_c3_c4_067,c3_067,0,0,0,0.008,256,1,42,2000
q00021,associative,minsim,c3_067,c4_067,bridge_c3_c4_067,c3_104,0,0,0,0.0123,256,1,42,2000
q00021,associative,graph_ppr,c3_067,c4_067,bridge_c3_c4_067,bridge_c3_c4_067,1,0,0,10.0802,256,1,42,2000
q00021,associative,topogps,c3_067,c4_067,bridge_c3_c4_067,bridge_c3_c4_067,1,3,1,0.8723,256,1,42,2000
q00021,associative,topogps_cuepath,c3_067,c4_067,bridge_c3_c4_067,bridge_c3_c4_067,1,3,0,0.5488,256,1,42,2000
q00021,associative,topogps_no_cue,c3_067,c4_067,bridge_c3_c4_067,bridge_c3_c4_064,0,2403,120,21.0318,256,1,42,2000
q00022,associative,nn,c1_020,c0_020,bridge_c0_c1_020,c1_020,0,0,0,0.0083,256,1,42,2000
q00022,associative,minsim,c1_020,c0_020,bridge_c0_c1_020,c4_117,0,0,0,0.0127,256,1,42,2000
q00022,associative,graph_ppr,c1_020,c0_020,bridge_c0_c1_020,bridge_c0_c1_020,1,0,0,10.7992,256,1,42,2000
q00022,associative,topogps,c1_020,c0_020,bridge_c0_c1_020,bridge_c0_c1_020,1,3,0,0.7646,256,1,42,2000
q00022,associative,topogps_cuepath,c1_020,c0_020,bridge_c0_c1_020,bridge_c0_c1_020,1,3,0,0.4797,256,1,42,2000
q00022,associative,topogps_no_cue,c1_020,c0_020,bridge_c0_c1_020,bridge_c1_c3_067,0,2500,120,22.7511,256,1,42,2000
q00023,associative,nn,c2_019,c3_019,bridge_c2_c3_019,c2_019,0,0,0,0.0081,256,1,42,2000
q00023,associative,minsim,c2_019,c3_019,bridge_c2_c3_019,c2_092,0,0,0,0.0126,256,1,42,2000
q00023,associative,graph_ppr,c2_019,c3_019,bridge_c2_c3_019,bridge_c2_c3_019,1,0,0,10.2865,256,1,42,2000
q00023,associative,topogps,c2_019,c3_019,bridge_c2_c3_019,bridge_c2_c3_019,1,3,1,0.8535,256,1,42,2000
q00023,associative,topogps_cuepath,c2_019,c3_019,bridge_c2_c3_019,bridge_c2_c3_019,1,3,0,0.5059,256,1,42,2000
q00023,associative,topogps_no_cue,c2_019,c3_019,bridge_c2_c3_019,bridge_c2_c3_094,0,2500,120,21.153,256,1,42,2000
q00024,associative,nn,c1_020,c3_020,bridge_c1_c3_020,c1_020,0,0,0,0.0083,256,1,42,2000
q00024,associative,minsim,c1_020,c3_020,bridge_c1_c3_020,c2_026,0,0,0,0.0124,256,1,42,2000
q00024,associative,graph_ppr,c1_020,c3_020,bridge_c1_c3_020,bridge_c1_c3_020,1,0,0,10.2965,256,1,42,2000
q00024,associative,topogps,c1_020,c3_020,bridge_c1_c3_020,bridge_c1_c3_020,1,3,0,0.7911,256,1,42,2000
q00024,associative,topogps_cuepath,c1_020,c3_020,bridge_c1_c3_020,bridge_c1_c3_020,1,3,0,0.5067,256,1,42,2000
q00024,associative,topogps_no_cue,c1_020,c3_020,bridge_c1_c3_020,bridge_c1_c2_037,0,2500,120,22.1336,256,1,42,2000
q00025,associative,nn,c2_062,c1_062,bridge_c1_c2_062,c2_062,0,0,0,0.0087,256,1,42,2000
q00025,associative,minsim,c2_062,c1_062,bridge_c1_c2_062,c2_094,0,0,0,0.0126,256,1,42,2000
q00025,associative,graph_ppr,c2_062,c1_062,bridge_c1_c2_062,bridge_c1_c2_062,1,0,0,10.633,256,1,42,2000
q00025,associative,topogps,c2_062,c1_062,bridge_c1_c2_062,bridge_c1_c2_062,1,3,0,0.7802,256,1,42,2000
q00025,associative,topogps_cuepath,c2_062,c1_062,bridge_c1_c2_062,bridge_c1_c2_062,1,3,0,0.5159,256,1,42,2000
q00025,associative,topogps_no_cue,c2_062,c1_062,bridge_c1_c2_062,c2_062,0,2500,120,21.2717,256,1,42,2000
q00026,associative,nn,c0_017,c3_017,bridge_c0_c3_017,c0_017,0,0,0,0.0087,256,1,42,2000
q00026,associative,minsim,c0_017,c3_017,bridge_c0_c3_017,c2_024,0,0,0,0.0134,256,1,42,2000
q00026,associative,graph_ppr,c0_017,c3_017,bridge_c0_c3_017,bridge_c0_c3_017,1,0,0,10.1674,256,1,42,2000
q00026,associative,topogps,c0_017,c3_017,bridge_c0_c3_017,bridge_c0_c3_017,1,3,1,0.8441,256,1,42,2000
